Comment,,,,,,,
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1629504000000,21/08/2021 0:00,ETHUSD,3287.04,3287.04,3276.24,3279.85,191.0559539
1629500400000,20/08/2021 23:00,ETHUSD,3261.03,3288.27,3258.59,3287.04,4418.616768
1629496800000,20/08/2021 22:00,ETHUSD,3291.43,3294.34,3250,3261.03,968.5623802
1629493200000,20/08/2021 21:00,ETHUSD,3260.93,3295.67,3260.31,3291.43,722.5902913
1629489600000,20/08/2021 20:00,ETHUSD,3252.65,3278.09,3247.45,3260.93,694.9591783
1629486000000,20/08/2021 19:00,ETHUSD,3235.8,3258.55,3235.79,3252.65,646.3325706
1629482400000,20/08/2021 18:00,ETHUSD,3252.49,3258.08,3218.68,3235.8,1434.106904
1629478800000,20/08/2021 17:00,ETHUSD,3266.15,3275.43,3249.24,3252.49,698.1056656
1629475200000,20/08/2021 16:00,ETHUSD,3283.11,3299.01,3243.15,3266.15,1403.046685
1629471600000,20/08/2021 15:00,ETHUSD,3282.93,3290.99,3261.86,3283.11,1697.710296
1629468000000,20/08/2021 14:00,ETHUSD,3260,3301.22,3251.3,3282.93,1705.024461
1629464400000,20/08/2021 13:00,ETHUSD,3238.42,3264.76,3226.49,3260,1404.932777
1629460800000,20/08/2021 12:00,ETHUSD,3206.55,3242.42,3204.52,3238.42,646.6296584
1629457200000,20/08/2021 11:00,ETHUSD,3215.93,3218.95,3200.38,3206.55,412.5355669
1629453600000,20/08/2021 10:00,ETHUSD,3206.46,3224.99,3204.37,3215.93,269.6760617
1629450000000,20/08/2021 9:00,ETHUSD,3198.67,3215.95,3196.52,3206.46,416.1182764
1629446400000,20/08/2021 8:00,ETHUSD,3213.25,3224.9,3187.16,3198.67,435.8235884
1629442800000,20/08/2021 7:00,ETHUSD,3229.54,3231.38,3208.1,3213.25,274.1666712
1629439200000,20/08/2021 6:00,ETHUSD,3225,3235,3209.25,3229.54,431.1432132
1629435600000,20/08/2021 5:00,ETHUSD,3224.3,3226.26,3203.64,3225,509.6965704
1629432000000,20/08/2021 4:00,ETHUSD,3217.82,3234.44,3208.84,3224.3,317.8495698
1629428400000,20/08/2021 3:00,ETHUSD,3230.92,3234.36,3210.9,3217.82,592.1963239
1629424800000,20/08/2021 2:00,ETHUSD,3237.67,3241.86,3223.99,3230.92,428.4332445
1629421200000,20/08/2021 1:00,ETHUSD,3229.06,3243.16,3213.85,3237.67,867.8008105
1629417600000,20/08/2021 0:00,ETHUSD,3185,3246.09,3179,3229.06,3315.247691
1629414000000,19/08/2021 23:00,ETHUSD,3170.6,3188,3157.88,3185,1777.04593
1629410400000,19/08/2021 22:00,ETHUSD,3164.9,3177.24,3149.91,3170.6,427.433649
1629406800000,19/08/2021 21:00,ETHUSD,3158.15,3170.7,3146,3164.9,378.3559032
1629403200000,19/08/2021 20:00,ETHUSD,3147.41,3164.44,3144.56,3158.15,516.7606197
1629399600000,19/08/2021 19:00,ETHUSD,3134.37,3164.56,3131,3147.41,1711.120613
1629396000000,19/08/2021 18:00,ETHUSD,3049.67,3138.44,3048.11,3134.37,3152.341431
1629392400000,19/08/2021 17:00,ETHUSD,3048.35,3058.54,3024.62,3049.67,770.2604206
1629388800000,19/08/2021 16:00,ETHUSD,3069.5,3078.94,3048.35,3048.35,967.9657936
1629385200000,19/08/2021 15:00,ETHUSD,3043.04,3078.31,3043.04,3069.5,3159.510436
1629381600000,19/08/2021 14:00,ETHUSD,3021.5,3061.25,3021.15,3043.04,3058.930922
1629378000000,19/08/2021 13:00,ETHUSD,2997.74,3022.05,2983.62,3021.5,2271.357122
1629374400000,19/08/2021 12:00,ETHUSD,2975,3003.11,2962.61,2997.74,778.4942865
1629370800000,19/08/2021 11:00,ETHUSD,2984.91,3002.54,2975,2975,732.1066278
1629367200000,19/08/2021 10:00,ETHUSD,3005.37,3012.5,2980.02,2984.91,733.0650589
1629363600000,19/08/2021 9:00,ETHUSD,3001.68,3014.51,2999.55,3005.37,521.6249195
1629360000000,19/08/2021 8:00,ETHUSD,2994.71,3022.53,2980.75,3001.68,608.2668325
1629356400000,19/08/2021 7:00,ETHUSD,2997.03,3009.24,2973.44,2994.71,531.8892704
1629352800000,19/08/2021 6:00,ETHUSD,3007.01,3009.12,2984.5,2997.03,526.4574893
1629349200000,19/08/2021 5:00,ETHUSD,2982,3016.64,2970,3007.01,1641.555367
1629345600000,19/08/2021 4:00,ETHUSD,2967.28,2992.58,2958.92,2982,3968.33879
1629342000000,19/08/2021 3:00,ETHUSD,3009.69,3009.69,2967.28,2967.28,563.4732909
1629338400000,19/08/2021 2:00,ETHUSD,3027.64,3027.64,3006,3009.69,237.6512126
1629334800000,19/08/2021 1:00,ETHUSD,3046.67,3053.12,3027.18,3027.64,1639.076977
1629331200000,19/08/2021 0:00,ETHUSD,3012.63,3048.87,3000,3046.67,450.3903113
1629327600000,18/08/2021 23:00,ETHUSD,3042.84,3061.77,3006.43,3012.63,1048.291383
1629324000000,18/08/2021 22:00,ETHUSD,3001.99,3043.01,3000.97,3042.84,886.8089376
1629320400000,18/08/2021 21:00,ETHUSD,3008.99,3026.41,3000,3001.99,773.9628361
1629316800000,18/08/2021 20:00,ETHUSD,3031.1,3042.26,3006.09,3008.99,904.3969853
1629313200000,18/08/2021 19:00,ETHUSD,3057.85,3069.22,3021.99,3031.1,1796.177158
1629309600000,18/08/2021 18:00,ETHUSD,3107.09,3119.47,3057.39,3057.85,3621.754679
1629306000000,18/08/2021 17:00,ETHUSD,3121.5,3124.82,3098.36,3107.09,3288.892882
1629302400000,18/08/2021 16:00,ETHUSD,3112.53,3125.99,3096.01,3121.5,282.7552236
1629298800000,18/08/2021 15:00,ETHUSD,3076.25,3123.97,3054.64,3112.53,2783.232212
1629295200000,18/08/2021 14:00,ETHUSD,3058.16,3081.59,3052.15,3076.25,882.5101809
1629291600000,18/08/2021 13:00,ETHUSD,3028.66,3067.26,3028.66,3058.16,1113.094024
1629288000000,18/08/2021 12:00,ETHUSD,2999.92,3042.42,2997.29,3028.66,1279.546718
1629284400000,18/08/2021 11:00,ETHUSD,3033.73,3058.11,2992.05,2999.92,635.2949943
1629280800000,18/08/2021 10:00,ETHUSD,3054.44,3069,3027.09,3033.73,182.1657009
1629277200000,18/08/2021 9:00,ETHUSD,3044.84,3061.68,3037.45,3054.44,234.3781275
1629273600000,18/08/2021 8:00,ETHUSD,3033.54,3050.04,3017,3044.84,415.3325841
1629270000000,18/08/2021 7:00,ETHUSD,3072.46,3077.74,3024.98,3033.54,485.018034
